short_name,age,overall,potential,player_positions,position_group,market_value_eur,pace,shooting,passing,dribbling,defending,physic,age_potential_gap,is_at_peak,value_per_rating
J. Silva,28,72,72,"LB, LWB, CB",DEF,2100000.0,70.0,60.0,66.0,71.0,70.0,75.0,0,1,28767.12328767123
J. Simpson,25,66,70,CB,DEF,1100000.0,54.0,37.0,50.0,55.0,66.0,67.0,4,0,16417.910447761195
J. Sims,25,66,68,"LM, RM",MID,1100000.0,81.0,61.0,61.0,68.0,31.0,50.0,2,0,16417.910447761195
J. Singh,30,55,55,RM,MID,120000.0,83.0,51.0,46.0,57.0,21.0,55.0,0,1,2142.8571428571427
J. Singh,20,54,64,"CDM, CM",MID,220000.0,48.0,37.0,46.0,55.0,49.0,47.0,10,0,4000.0
J. Singh,21,55,65,"CDM, CM, CB",MID,275000.0,76.0,42.0,50.0,55.0,53.0,65.0,10,0,4910.714285714285
J. Singh,21,60,70,"CDM, CM",MID,525000.0,62.0,38.0,50.0,56.0,59.0,72.0,10,0,8606.557377049181
J. Sirois,21,59,72,GK,GK,475000.0,69.0,55.0,58.0,63.0,56.0,66.0,13,0,7916.666666666667
J. Sivi,19,52,69,RM,MID,210000.0,64.0,54.0,44.0,54.0,26.0,37.0,17,0,3962.264150943396
J. Siwe,20,57,71,ST,ATT,400000.0,59.0,58.0,44.0,55.0,24.0,49.0,14,0,6896.551724137931
J. Skahan,24,55,61,CM,MID,200000.0,64.0,44.0,56.0,57.0,42.0,60.0,6,0,3571.4285714285716
J. Skau,19,55,70,CM,MID,300000.0,61.0,40.0,52.0,56.0,52.0,51.0,15,0,5357.142857142857
J. Skjelvik,30,65,65,"LB, CB",DEF,625000.0,79.0,50.0,59.0,62.0,58.0,73.0,0,1,9469.69696969697
J. Skotadis,22,59,65,"CDM, CM",MID,325000.0,73.0,48.0,53.0,59.0,53.0,63.0,6,0,5416.666666666667
J. Slater,17,56,76,"LWB, LB, CB",DEF,375000.0,73.0,32.0,48.0,56.0,51.0,52.0,20,0,6578.9473684210525
J. Smith,20,54,66,GK,GK,230000.0,69.0,55.0,58.0,63.0,56.0,66.0,12,0,4181.818181818182
J. Smith,20,59,70,"CM, CDM",MID,500000.0,68.0,52.0,54.0,57.0,51.0,69.0,11,0,8333.333333333334
J. Smith,19,59,74,"CDM, CB, CM",MID,500000.0,46.0,40.0,54.0,56.0,58.0,61.0,15,0,8333.333333333334
J. Smith,24,63,66,RM,MID,650000.0,83.0,58.0,58.0,66.0,37.0,43.0,3,0,10156.25
J. Smith,27,67,68,GK,GK,875000.0,69.0,55.0,58.0,63.0,56.0,66.0,1,0,12867.64705882353
J. Snopczyński,16,55,74,CAM,MID,325000.0,72.0,47.0,50.0,61.0,33.0,43.0,19,0,5803.571428571428
J. Sobociński,23,60,71,CB,DEF,500000.0,59.0,22.0,45.0,38.0,59.0,70.0,11,0,8196.72131147541
J. Soler,17,60,78,"LB, CB",DEF,600000.0,66.0,41.0,47.0,59.0,57.0,51.0,18,0,9836.065573770491
J. Soltvedt,26,63,64,"LB, LWB, LM",DEF,525000.0,71.0,54.0,56.0,60.0,58.0,62.0,1,0,8203.125
J. Solís,18,62,77,"CM, CDM",MID,925000.0,64.0,59.0,58.0,63.0,59.0,64.0,15,0,14682.539682539682
J. Soraire,33,70,70,CM,MID,975000.0,73.0,60.0,71.0,74.0,61.0,80.0,0,1,13732.394366197183
J. Sornoza,28,75,75,"CAM, CF",MID,5500000.0,74.0,74.0,74.0,75.0,40.0,48.0,0,1,72368.42105263157
J. Sosa,37,72,72,"CM, CDM",MID,750000.0,52.0,69.0,79.0,74.0,65.0,60.0,0,1,10273.972602739726
J. Sosa,20,68,78,"CB, LB",DEF,2500000.0,41.0,37.0,60.0,60.0,72.0,67.0,10,0,36231.884057971016
J. Sotirio,26,62,62,"LM, ST, RM",MID,425000.0,90.0,61.0,52.0,59.0,44.0,74.0,0,1,6746.0317460317465
J. Souttar,25,72,75,CB,DEF,2800000.0,66.0,44.0,58.0,64.0,71.0,74.0,3,0,38356.16438356164
J. Sowerby,27,62,63,"CDM, CM",MID,400000.0,49.0,48.0,55.0,62.0,59.0,67.0,1,0,6349.206349206349
J. Soñora,25,70,72,"CAM, CM",MID,2000000.0,80.0,66.0,70.0,73.0,55.0,58.0,2,0,28169.014084507042
J. Sparkes,21,64,71,LWB,DEF,1100000.0,77.0,46.0,57.0,63.0,58.0,58.0,7,0,16923.076923076922
J. Spileers,17,60,79,CB,DEF,575000.0,67.0,29.0,51.0,44.0,60.0,63.0,19,0,9426.22950819672
J. Sraha,19,53,70,CB,DEF,230000.0,70.0,25.0,35.0,39.0,51.0,64.0,17,0,4259.259259259259
J. St. Juste,25,76,80,"CB, RB",DEF,9500000.0,93.0,58.0,65.0,74.0,78.0,73.0,4,0,123376.62337662338
J. Stacey,26,73,75,"RB, RWB",DEF,3500000.0,73.0,55.0,66.0,70.0,69.0,71.0,2,0,47297.2972972973
J. Stage,25,72,74,"CM, RM",MID,2900000.0,71.0,65.0,69.0,71.0,71.0,81.0,2,0,39726.02739726027
J. Stanislas,32,71,71,"RM, LM, RW",MID,1500000.0,69.0,71.0,71.0,72.0,36.0,52.0,0,1,20833.333333333332
J. Stanišić,22,73,81,"RB, CB",DEF,6500000.0,71.0,39.0,56.0,64.0,74.0,69.0,8,0,87837.83783783784
J. Stansfield,19,64,80,"ST, RW",ATT,1500000.0,78.0,64.0,55.0,64.0,26.0,57.0,16,0,23076.923076923078
J. Staněk,26,78,80,GK,GK,13000000.0,69.0,55.0,58.0,63.0,56.0,66.0,2,0,164556.96202531646
J. Stark,21,60,69,"CM, CB",MID,550000.0,63.0,51.0,59.0,62.0,56.0,65.0,9,0,9016.393442622952
J. Steele,31,65,65,GK,GK,375000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,5681.818181818182
J. Steer,29,71,71,GK,GK,1300000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,18055.555555555555
J. Stefanon,23,61,66,"LW, ST",ATT,500000.0,69.0,58.0,55.0,64.0,23.0,52.0,5,0,8064.5161290322585
J. Steinkötter,22,62,69,"ST, LW",ATT,825000.0,80.0,61.0,51.0,59.0,27.0,60.0,7,0,13095.238095238095
J. Stenmark,23,60,71,CB,DEF,500000.0,62.0,29.0,49.0,50.0,56.0,75.0,11,0,8196.72131147541
J. Stephens,28,74,74,CB,DEF,3600000.0,44.0,42.0,61.0,67.0,75.0,73.0,0,1,48000.0
J. Sterner,20,64,73,"RM, CM, LM",MID,1300000.0,79.0,43.0,63.0,65.0,61.0,63.0,9,0,20000.0
J. Sterry,26,62,63,"RWB, RB",DEF,425000.0,73.0,50.0,56.0,60.0,55.0,73.0,1,0,6746.0317460317465
J. Stevens,22,60,68,RM,MID,550000.0,72.0,54.0,56.0,62.0,50.0,60.0,8,0,9016.393442622952
J. Stevens,24,64,68,GK,GK,675000.0,69.0,55.0,58.0,63.0,56.0,66.0,4,0,10384.615384615385
J. Stockley,28,64,64,ST,ATT,600000.0,55.0,63.0,45.0,58.0,33.0,81.0,0,1,9230.76923076923
J. Stolarczyk,21,58,67,GK,GK,400000.0,69.0,55.0,58.0,63.0,56.0,66.0,9,0,6779.661016949152
J. Stones,28,83,84,"CB, RB",DEF,34500000.0,72.0,51.0,71.0,75.0,84.0,77.0,1,0,410714.28571428574
J. Storevik,25,64,68,GK,GK,650000.0,69.0,55.0,58.0,63.0,56.0,66.0,4,0,10000.0
J. Storey,24,69,75,CB,DEF,2000000.0,75.0,27.0,43.0,56.0,69.0,72.0,6,0,28571.428571428572
J. Strauß,26,66,67,"RB, RWB, LB",DEF,925000.0,78.0,52.0,59.0,66.0,59.0,62.0,1,0,13805.970149253732
J. Stretton,20,59,67,ST,ATT,500000.0,66.0,60.0,41.0,56.0,25.0,56.0,8,0,8333.333333333334
J. Stroud,25,61,62,"RM, LM",MID,400000.0,67.0,53.0,56.0,61.0,53.0,65.0,1,0,6451.612903225807
J. Sundström,20,57,68,CM,MID,350000.0,61.0,40.0,57.0,61.0,40.0,58.0,11,0,6034.482758620689
J. Sveinhaug,18,54,70,GK,GK,240000.0,69.0,55.0,58.0,63.0,56.0,66.0,16,0,4363.636363636364
J. Svensson,29,77,77,RB,DEF,9500000.0,81.0,60.0,70.0,75.0,72.0,81.0,0,1,121794.8717948718
J. Sweeney,20,56,66,LB,DEF,300000.0,71.0,36.0,47.0,53.0,51.0,58.0,10,0,5263.1578947368425
J. Swift,27,74,75,"CAM, CM",MID,4900000.0,64.0,74.0,74.0,76.0,58.0,58.0,1,0,65333.333333333336
J. Sylvestre-Brac,23,63,71,"RB, CB",DEF,1000000.0,59.0,33.0,53.0,51.0,62.0,68.0,8,0,15625.0
J. Sypek,21,59,69,"RM, CF, CAM",MID,500000.0,74.0,50.0,53.0,61.0,44.0,55.0,10,0,8333.333333333334
J. Szmatuła,41,59,59,GK,GK,80000.0,69.0,55.0,58.0,63.0,56.0,66.0,0,1,1333.3333333333333
J. Szymański,19,57,66,CB,DEF,325000.0,48.0,28.0,32.0,34.0,57.0,70.0,9,0,5603.448275862069
J. Sánchez,33,64,64,"CAM, LM",MID,375000.0,74.0,64.0,62.0,63.0,32.0,60.0,0,1,5769.2307692307695
J. Sánchez,19,58,72,"CDM, CM",MID,450000.0,60.0,47.0,56.0,59.0,53.0,61.0,14,0,7627.118644067797
J. Sánchez,24,75,78,RB,DEF,7000000.0,91.0,50.0,64.0,72.0,70.0,80.0,3,0,92105.26315789473
J. Sánchez Miño,32,68,68,"LM, LB, CM",MID,950000.0,67.0,68.0,70.0,67.0,65.0,65.0,0,1,13768.115942028986
J. Sánchez Purata,24,68,74,CB,DEF,1700000.0,54.0,48.0,49.0,53.0,67.0,71.0,6,0,24637.681159420288
J. Sørensen,24,69,73,"CDM, CM, LB",MID,1800000.0,65.0,55.0,64.0,67.0,68.0,69.0,4,0,25714.285714285714
J. Sýkora,28,73,73,"LM, CAM, LB",MID,3100000.0,81.0,69.0,71.0,74.0,62.0,67.0,0,1,41891.89189189189
J. Taaje,24,64,71,CB,DEF,1100000.0,63.0,29.0,45.0,53.0,62.0,71.0,7,0,16923.076923076922
J. Tabiner,18,54,69,"CM, RW",MID,250000.0,66.0,50.0,54.0,59.0,46.0,52.0,15,0,4545.454545454545
J. Tagueu,28,72,72,"ST, LW",ATT,2400000.0,70.0,70.0,58.0,70.0,29.0,70.0,0,1,32876.71232876712
J. Tah,26,81,83,CB,DEF,28000000.0,67.0,37.0,59.0,61.0,82.0,85.0,2,0,341463.4146341463
J. Talbot,25,64,68,GK,GK,650000.0,69.0,55.0,58.0,63.0,56.0,66.0,4,0,10000.0
J. Tamm,30,66,66,CB,DEF,700000.0,66.0,63.0,47.0,54.0,64.0,77.0,0,1,10447.76119402985
J. Tanga,18,54,68,RM,MID,250000.0,82.0,46.0,42.0,58.0,32.0,55.0,14,0,4545.454545454545
J. Tanganga,23,74,80,"RWB, CB",DEF,6000000.0,75.0,33.0,62.0,71.0,75.0,79.0,6,0,80000.0
J. Tapia,18,53,64,GK,GK,170000.0,69.0,55.0,58.0,63.0,56.0,66.0,11,0,3148.1481481481483
J. Tarkowski,29,80,80,CB,DEF,17500000.0,55.0,45.0,65.0,63.0,82.0,81.0,0,1,216049.38271604938
J. Tartarotti,22,63,68,"CM, CAM, LM",MID,725000.0,65.0,59.0,63.0,64.0,55.0,62.0,5,0,11328.125
J. Tavernier,30,78,78,RB,DEF,12000000.0,82.0,73.0,77.0,75.0,72.0,80.0,0,1,151898.7341772152
J. Taylor,35,59,59,"CDM, CM",MID,80000.0,39.0,51.0,55.0,56.0,57.0,65.0,0,1,1333.3333333333333
J. Taylor,20,54,66,RWB,DEF,250000.0,71.0,36.0,44.0,54.0,50.0,60.0,12,0,4545.454545454545
J. Taylor,19,54,70,ST,ATT,275000.0,71.0,55.0,36.0,45.0,20.0,57.0,16,0,5000.0
J. Taylor,23,60,61,CM,MID,300000.0,71.0,58.0,61.0,62.0,53.0,58.0,1,0,4918.0327868852455
J. Taylor,30,61,61,"CM, CDM, RW",MID,325000.0,65.0,56.0,59.0,62.0,58.0,73.0,0,1,5241.935483870968
J. Taylor,29,62,62,"RM, RW",MID,400000.0,81.0,57.0,58.0,65.0,27.0,41.0,0,1,6349.206349206349
J. Taylor,24,68,73,"CM, CDM",MID,1800000.0,73.0,65.0,64.0,68.0,63.0,67.0,5,0,26086.956521739132
J. Tchamadeu,18,62,72,RB,DEF,800000.0,78.0,44.0,53.0,63.0,55.0,66.0,10,0,12698.412698412698
J. Tchatchoua,21,67,78,"RWB, RM, LM",DEF,2200000.0,88.0,54.0,56.0,66.0,58.0,79.0,11,0,32352.941176470587
J. Tell,25,66,71,"ST, LM, RW",ATT,1300000.0,59.0,66.0,56.0,65.0,31.0,63.0,5,0,19402.985074626864
J. Tenkorang,22,63,71,CM,MID,1100000.0,74.0,55.0,62.0,63.0,52.0,62.0,8,0,17187.5
J. Teze,22,77,84,"CB, RB",DEF,20000000.0,80.0,48.0,65.0,68.0,77.0,79.0,7,0,256410.2564102564
J. Therkelsen,19,53,67,"CM, CDM",MID,220000.0,65.0,39.0,50.0,54.0,51.0,58.0,14,0,4074.074074074074
J. Thiaré,29,68,68,ST,ATT,1200000.0,86.0,67.0,56.0,70.0,22.0,70.0,0,1,17391.304347826088
J. Thielmann,20,73,82,"RM, ST, LM",MID,6500000.0,81.0,69.0,66.0,72.0,45.0,66.0,9,0,87837.83783783784
J. Thomasen,26,64,66,CM,MID,725000.0,58.0,59.0,62.0,63.0,62.0,63.0,2,0,11153.846153846154
J. Thomassen,34,64,64,"LB, LWB",DEF,210000.0,67.0,50.0,60.0,61.0,60.0,68.0,0,1,3230.769230769231
J. Thompson,17,59,74,LW,ATT,525000.0,67.0,53.0,52.0,64.0,22.0,36.0,15,0,8750.0
J. Thompson,25,67,70,"CM, CDM, LWB",MID,1300000.0,71.0,54.0,67.0,68.0,61.0,65.0,3,0,19117.647058823528
J. Thomson,25,59,64,"CM, CAM, CDM",MID,325000.0,67.0,56.0,57.0,61.0,52.0,60.0,5,0,5416.666666666667
J. Thorniley,25,66,71,CB,DEF,1100000.0,62.0,36.0,50.0,55.0,66.0,71.0,5,0,16417.910447761195
J. Thorsen,32,60,60,"CM, LW",MID,190000.0,57.0,51.0,58.0,60.0,62.0,68.0,0,1,3114.754098360656
J. Tilley,24,63,66,"RM, RWB",MID,650000.0,68.0,59.0,59.0,65.0,54.0,52.0,3,0,10156.25
J. Tillson,29,65,65,"CDM, CM, RM",MID,600000.0,50.0,45.0,57.0,61.0,62.0,74.0,0,1,9090.90909090909
J. Timber,21,80,88,"CB, RB",DEF,35000000.0,81.0,47.0,67.0,77.0,81.0,81.0,8,0,432098.76543209876
J. Todibo,22,79,84,CB,DEF,24500000.0,75.0,47.0,63.0,67.0,80.0,77.0,5,0,306250.0
J. Toivio,34,63,63,CB,DEF,160000.0,50.0,52.0,54.0,51.0,62.0,73.0,0,1,2500.0
J. Toledo,36,69,69,ST,ATT,475000.0,43.0,72.0,63.0,61.0,43.0,74.0,0,1,6785.714285714285
J. Toledo,26,65,68,RB,DEF,850000.0,73.0,27.0,51.0,54.0,62.0,61.0,3,0,12878.787878787878
J. Toljan,27,73,73,RB,DEF,2900000.0,86.0,42.0,63.0,69.0,66.0,67.0,0,1,39189.18918918919
J. Tolkin,19,69,81,"LB, LWB, CDM",DEF,3200000.0,80.0,48.0,63.0,64.0,65.0,67.0,12,0,45714.28571428572
J. Tomkins,33,72,72,CB,DEF,1100000.0,33.0,32.0,56.0,49.0,74.0,67.0,0,1,15068.493150684932
J. Tomkinson,20,62,74,CB,DEF,900000.0,64.0,31.0,40.0,40.0,62.0,70.0,12,0,14285.714285714286
J. Tomlinson,16,50,70,CB,DEF,120000.0,59.0,25.0,30.0,33.0,49.0,61.0,20,0,2352.9411764705883
J. Tomlinson,22,62,70,"LWB, LB",DEF,850000.0,74.0,47.0,56.0,60.0,56.0,52.0,8,0,13492.063492063493
J. Toornstra,33,74,74,"CM, CAM",MID,2600000.0,54.0,74.0,77.0,70.0,70.0,70.0,0,1,34666.666666666664
J. Topalli,23,64,70,"RW, RM",ATT,925000.0,79.0,59.0,58.0,65.0,28.0,67.0,6,0,14230.76923076923
J. Torrance,20,53,61,GK,GK,180000.0,69.0,55.0,58.0,63.0,56.0,66.0,8,0,3333.3333333333335
J. Torres,18,58,78,RB,DEF,550000.0,58.0,26.0,44.0,41.0,58.0,47.0,20,0,9322.033898305084
J. Torres,19,61,69,"CM, CAM",MID,700000.0,64.0,55.0,57.0,62.0,56.0,56.0,8,0,11290.322580645161
J. Torres,25,68,71,CF,ATT,1600000.0,80.0,61.0,62.0,76.0,34.0,48.0,3,0,23188.405797101448
J. Torres,22,66,76,"CM, RM, LM",MID,1900000.0,84.0,66.0,63.0,72.0,52.0,66.0,10,0,28358.20895522388
J. Torres,25,72,77,ST,ATT,3500000.0,61.0,71.0,54.0,67.0,23.0,70.0,5,0,47945.20547945205
J. Torunarigha,24,73,78,"CB, LB",DEF,4200000.0,85.0,39.0,63.0,65.0,74.0,74.0,5,0,56756.75675675676
J. Trafford,19,66,78,GK,GK,1800000.0,69.0,55.0,58.0,63.0,56.0,66.0,12,0,26865.671641791047
J. Trasante,23,66,74,"CM, CDM",MID,1900000.0,68.0,56.0,57.0,64.0,62.0,73.0,8,0,28358.20895522388
J. Tratt,27,60,60,"CB, RB",DEF,230000.0,57.0,41.0,50.0,51.0,56.0,76.0,0,1,3770.4918032786886
J. Travis,18,53,69,LB,DEF,230000.0,70.0,31.0,39.0,60.0,48.0,49.0,16,0,4259.259259259259
J. Troisi,33,63,63,"CAM, CM",MID,300000.0,60.0,60.0,65.0,62.0,47.0,69.0,0,1,4687.5
J. Tucker,22,65,72,CB,DEF,1300000.0,63.0,30.0,46.0,49.0,63.0,78.0,7,0,19696.969696969696
J. Tugbenyo,20,61,71,"CB, CDM, RB",DEF,675000.0,67.0,32.0,53.0,56.0,60.0,62.0,10,0,10887.09677419355
J. Tunnicliffe,28,64,64,CB,DEF,500000.0,53.0,26.0,45.0,50.0,63.0,75.0,0,1,7692.307692307692
J. Tuominen,26,62,63,ST,ATT,475000.0,65.0,62.0,50.0,59.0,39.0,64.0,1,0,7539.68253968254
J. Turi,20,61,70,CB,DEF,675000.0,56.0,33.0,42.0,40.0,60.0,73.0,9,0,10887.09677419355
J. Turnbull,27,64,64,CB,DEF,550000.0,52.0,27.0,45.0,52.0,63.0,78.0,0,1,8461.538461538461
J. Turner,23,61,71,GK,GK,625000.0,69.0,55.0,58.0,63.0,56.0,66.0,10,0,10080.645161290322
J. Turner-Cooke,18,59,74,"CM, CAM, RM",MID,525000.0,62.0,55.0,62.0,61.0,52.0,49.0,15,0,8750.0
J. Turra,19,59,69,CB,DEF,450000.0,62.0,22.0,32.0,35.0,60.0,64.0,10,0,7500.0
J. Tverskov,29,69,69,"CDM, CB, CM",MID,1200000.0,46.0,43.0,55.0,61.0,69.0,75.0,0,1,17142.85714285714
J. Tymon,23,70,77,"LWB, LB",DEF,3000000.0,75.0,52.0,67.0,66.0,62.0,70.0,7,0,42253.52112676056
J. Tånnander,21,61,73,GK,GK,700000.0,69.0,55.0,58.0,63.0,56.0,66.0,12,0,11290.322580645161
J. Uchuari,28,66,66,"LM, RM, RW",MID,850000.0,80.0,68.0,63.0,67.0,36.0,59.0,0,1,12686.567164179105
J. Umerah,25,62,64,ST,ATT,500000.0,74.0,59.0,45.0,61.0,27.0,78.0,2,0,7936.507936507936
J. Urbančič,21,59,68,LB,DEF,475000.0,71.0,33.0,47.0,58.0,53.0,60.0,9,0,7916.666666666667
J. Urbig,18,58,76,GK,GK,450000.0,69.0,55.0,58.0,63.0,56.0,66.0,18,0,7627.118644067797
J. Ureyano,30,66,66,"ST, CF",ATT,850000.0,80.0,64.0,52.0,69.0,27.0,58.0,0,1,12686.567164179105
J. Uribe,20,58,70,GK,GK,425000.0,69.0,55.0,58.0,63.0,56.0,66.0,12,0,7203.389830508475
J. Uronen,27,72,72,"LB, LM",DEF,2300000.0,68.0,57.0,69.0,67.0,69.0,74.0,0,1,31506.84931506849
J. Urretaviscaya,32,68,68,"RM, LM, CAM",MID,950000.0,68.0,67.0,73.0,68.0,41.0,48.0,0,1,13768.115942028986
J. Vagnoman,21,71,79,"RB, RM, LB",DEF,4000000.0,84.0,46.0,61.0,67.0,66.0,77.0,8,0,55555.555555555555
J. Valbuena,17,58,67,CM,MID,425000.0,59.0,49.0,56.0,56.0,51.0,57.0,9,0,7203.389830508475
J. Valdez Chamorro,28,66,66,"CM, CAM",MID,850000.0,80.0,61.0,62.0,69.0,55.0,69.0,0,1,12686.567164179105
J. Vale,21,61,73,"ST, LW",ATT,800000.0,74.0,59.0,47.0,62.0,26.0,60.0,12,0,12903.225806451614
J. Valencia,27,64,64,"ST, CAM, LM",ATT,625000.0,79.0,61.0,59.0,65.0,44.0,57.0,0,1,9615.384615384615
J. Valencia,25,66,71,"CDM, CM",MID,1100000.0,69.0,52.0,62.0,68.0,61.0,63.0,5,0,16417.910447761195
J. Vallejo,18,63,78,"RW, ST",ATT,1100000.0,73.0,59.0,58.0,65.0,44.0,57.0,15,0,17187.5
J. Van Cleemput,25,70,75,"CB, RWB, RB",DEF,2100000.0,71.0,31.0,64.0,68.0,71.0,73.0,5,0,29577.464788732395
J. Van Damme,30,68,68,"CDM, CM",MID,1000000.0,39.0,62.0,66.0,59.0,66.0,77.0,0,1,14492.753623188406
J. Van Hecke,20,63,74,"CM, CAM, CDM",MID,1000000.0,67.0,48.0,63.0,70.0,53.0,48.0,11,0,15625.0
J. Van Rankin,29,67,67,"RB, LB",DEF,900000.0,73.0,42.0,62.0,65.0,64.0,69.0,0,1,13235.29411764706
J. Vanlerberghe,26,70,73,"CB, CDM, CM",DEF,1800000.0,63.0,61.0,67.0,65.0,69.0,74.0,3,0,25352.11267605634
J. Varane,20,63,75,"CDM, CM",MID,1100000.0,60.0,44.0,60.0,62.0,59.0,62.0,12,0,17187.5
J. Vardy,35,83,83,ST,ATT,15500000.0,84.0,82.0,70.0,79.0,52.0,70.0,0,1,184523.80952380953
J. Vargas,26,62,66,"CDM, CM",MID,500000.0,65.0,36.0,53.0,60.0,59.0,60.0,4,0,7936.507936507936
J. Vargas,27,67,67,"RB, RM",DEF,975000.0,77.0,50.0,58.0,63.0,62.0,60.0,0,1,14338.235294117647
J. Vargas,22,66,70,"LM, RM, LW",MID,1200000.0,80.0,61.0,56.0,69.0,20.0,54.0,4,0,17910.44776119403
J. Veerman,23,78,83,"CM, CDM, CAM",MID,21000000.0,63.0,70.0,81.0,78.0,65.0,74.0,5,0,265822.7848101266
J. Vela,28,66,66,CM,MID,850000.0,62.0,59.0,64.0,65.0,62.0,82.0,0,1,12686.567164179105
J. Velasco,18,58,75,LB,DEF,500000.0,70.0,42.0,51.0,57.0,55.0,57.0,17,0,8474.57627118644
J. Veldmate,33,66,66,CB,DEF,400000.0,32.0,53.0,58.0,52.0,66.0,77.0,0,1,5970.149253731343
J. Veltman,30,78,78,"CB, RB",DEF,11500000.0,64.0,49.0,67.0,70.0,79.0,76.0,0,1,145569.62025316455
J. Velázquez,31,67,67,CB,DEF,700000.0,59.0,30.0,54.0,59.0,67.0,67.0,0,1,10294.117647058823
J. Velázquez,31,68,68,CB,DEF,825000.0,54.0,39.0,45.0,50.0,70.0,72.0,0,1,11956.521739130434
J. Venlero,34,65,65,"LB, CB",DEF,250000.0,67.0,53.0,54.0,59.0,62.0,66.0,0,1,3787.878787878788
J. Vera,31,64,64,"CM, CDM",MID,475000.0,56.0,55.0,58.0,64.0,61.0,59.0,0,1,7307.692307692308
J. Veretout,29,79,79,"CDM, CM",MID,15000000.0,76.0,75.0,76.0,78.0,75.0,80.0,0,1,187500.0
J. Verhoek,33,69,69,ST,ATT,900000.0,62.0,69.0,59.0,66.0,25.0,82.0,0,1,12857.142857142857
J. Verlaat,26,69,73,CB,DEF,1700000.0,53.0,26.0,47.0,55.0,68.0,77.0,4,0,24285.714285714286
J. Vertonghen,35,81,81,CB,DEF,7000000.0,68.0,62.0,72.0,67.0,83.0,78.0,0,1,85365.85365853658
J. Vestergaard,29,75,75,CB,DEF,4700000.0,32.0,48.0,61.0,49.0,75.0,77.0,0,1,61842.10526315789
J. Vetro,18,56,76,ST,ATT,400000.0,66.0,57.0,46.0,60.0,20.0,51.0,20,0,7017.543859649123
J. Vickers,26,65,68,GK,GK,725000.0,69.0,55.0,58.0,63.0,56.0,66.0,3,0,10984.848484848484
J. Vidales,30,65,65,"RW, RM",ATT,700000.0,80.0,58.0,61.0,65.0,33.0,42.0,0,1,10606.060606060606
J. Villafaña,32,67,67,LB,DEF,700000.0,70.0,55.0,66.0,66.0,62.0,64.0,0,1,10294.117647058823
J. Villagra,21,68,79,CB,DEF,2500000.0,66.0,24.0,43.0,46.0,68.0,72.0,11,0,36231.884057971016
J. Villamil,29,62,62,LB,DEF,350000.0,75.0,25.0,52.0,52.0,55.0,60.0,0,1,5555.555555555556
J. Viollaz,19,62,70,ST,ATT,875000.0,62.0,64.0,50.0,61.0,24.0,56.0,8,0,13888.888888888889
J. Virreira,25,62,69,CB,DEF,725000.0,62.0,24.0,39.0,42.0,62.0,72.0,7,0,11507.936507936507
J. Vivar,23,65,70,"LW, RW, RM",ATT,1100000.0,80.0,63.0,55.0,66.0,31.0,70.0,5,0,16666.666666666668
J. Vlak,23,66,70,"CDM, CM",MID,1100000.0,64.0,55.0,58.0,63.0,61.0,74.0,4,0,16417.910447761195
J. Vojtuš,28,62,62,ST,ATT,400000.0,66.0,62.0,51.0,59.0,24.0,66.0,0,1,6349.206349206349
J. Vokins,22,63,72,LB,DEF,1000000.0,68.0,45.0,51.0,63.0,60.0,59.0,9,0,15625.0
J. Vollert,24,63,68,CB,DEF,650000.0,55.0,41.0,56.0,58.0,62.0,71.0,5,0,10156.25
J. Vom Steeg,25,58,62,GK,GK,220000.0,69.0,55.0,58.0,63.0,56.0,66.0,4,0,3728.813559322034
J. Vossen,33,70,70,"ST, RW",ATT,1000000.0,55.0,75.0,68.0,66.0,37.0,68.0,0,1,14084.507042253521
J. Vuković,30,68,68,"CDM, CM",MID,1000000.0,61.0,49.0,63.0,65.0,64.0,74.0,0,1,14492.753623188406
J. Vásquez,23,72,81,"CB, LB",DEF,4900000.0,65.0,32.0,57.0,56.0,74.0,75.0,9,0,67123.28767123287
J. Vázquez,27,64,64,"LM, ST",MID,625000.0,75.0,62.0,61.0,64.0,53.0,57.0,0,1,9615.384615384615
J. Waite,23,59,61,CAM,MID,300000.0,67.0,51.0,55.0,63.0,44.0,45.0,2,0,5000.0
J. Wakeling,20,61,70,"ST, RW",ATT,725000.0,74.0,59.0,50.0,60.0,21.0,59.0,9,0,11693.548387096775
J. Wakely,21,58,65,CB,DEF,375000.0,53.0,35.0,42.0,40.0,58.0,64.0,7,0,6355.932203389831
J. Walker,29,65,65,"CAM, LM",MID,700000.0,77.0,62.0,63.0,68.0,45.0,65.0,0,1,10606.060606060606
J. Wallace,28,75,75,"RW, RM",ATT,5500000.0,77.0,71.0,73.0,75.0,45.0,67.0,0,1,72368.42105263157
J. Walsh,20,55,72,GK,GK,300000.0,69.0,55.0,58.0,63.0,56.0,66.0,17,0,5357.142857142857
J. Walsh,30,64,64,CB,DEF,475000.0,55.0,40.0,54.0,53.0,63.0,71.0,0,1,7307.692307692308
J. Walton,24,66,71,GK,GK,1000000.0,69.0,55.0,58.0,63.0,56.0,66.0,5,0,14925.373134328358
J. Ward,19,57,71,GK,GK,350000.0,69.0,55.0,58.0,63.0,56.0,66.0,14,0,6034.482758620689
